scaling,mpi_ranks,omp_threads,n_estimators,max_depth,criteria,which_loss_function,train_time_mean,train_time_std,eval_time_mean,eval_time_std,mse_mean,mse_std,mae_mean,mae_std
weak,1,2,200,10,0,0,2.347646666666667,0.021191409160841997,0.016865166666666667,9.046090622780476e-05,0.000286574,1.5269440919693174e-05,0.008280843333333334,0.00017567401483682503
weak,1,3,200,10,0,0,1.4141233333333334,0.03341268455076431,0.020420033333333334,0.0001579743720425007,0.0003029103333333333,2.4185057236970842e-05,0.008307506666666666,0.0001693004340087631
weak,1,4,200,10,0,0,1.31532,0.022570823349330166,0.023040866666666663,0.0002998640173293368,0.00031258966666666664,8.630758805316919e-06,0.00831333,0.00019159489763560973
weak,1,5,200,10,0,0,1.17303,0.0284681201814708,0.025262433333333334,0.000851086076075087,0.000270702,8.288574183778517e-06,0.008047753333333333,3.927035551433516e-05
weak,1,6,200,10,0,0,1.2320633333333335,0.06324419147681123,0.025835633333333333,0.0001621610995961187,0.00028108166666666667,1.6312075962985846e-06,0.008087456666666668,7.162451923437624e-05
weak,2,1,200,10,0,0,8.957500000000001,0.01899353574245735,0.030903533333333334,0.00012012166980006374,0.00018958366666666667,6.5303561073565444e-06,0.0071259,7.457531495072626e-05
weak,2,2,200,10,0,0,5.26425,0.015816828590670778,0.03146396666666667,0.007345878469061559,0.00019279733333333332,2.664933811977748e-06,0.00715147,3.9153841020603246e-05
weak,2,3,200,10,0,0,3.239526666666667,0.07225172954485043,0.035511766666666666,0.009879188018365794,0.00018322966666666667,1.0289796153903578e-05,0.007078996666666667,0.0001546358419714596
weak,2,4,200,10,0,0,2.750073333333333,0.09589722878628401,0.0485998,0.0033427003764421753,0.00019279733333333332,3.4602929869529234e-06,0.0071262999999999995,5.624780173482322e-05
weak,2,5,200,10,0,0,2.3249033333333338,0.04292755628834337,0.0370151,0.01021351345261104,0.00018994533333333333,6.15798204681444e-06,0.007125826666666667,6.007369326271038e-05
weak,2,6,200,10,0,0,2.4713133333333333,0.0722898906410081,0.07802773333333334,0.021710873960811027,0.00018737266666666666,5.720615370938879e-06,0.00707599,5.42427709469198e-05
weak,3,1,200,10,0,0,13.846233333333336,0.003936439451529243,0.051976699999999994,0.0038622021861454458,0.00018133566666666667,3.941994447259184e-06,0.00695003,2.936631744022401e-05
weak,3,2,200,10,0,0,8.170986666666666,0.06197473481633922,0.05113563333333334,0.003562258918470445,0.00018151433333333332,2.031840599609686e-06,0.006945893333333334,4.187555638104685e-05
weak,3,3,200,10,0,0,4.731516666666667,0.004258656543506856,0.046015933333333335,0.007574782538719438,0.00018731533333333334,3.4067917785245126e-06,0.007038926666666666,7.441882841205056e-05
weak,3,4,200,10,0,0,4.094796666666666,0.12489604886553567,0.06285896666666667,0.00044826186047393514,0.00018430466666666668,1.1885344850790925e-06,0.0070004766666666675,2.7440555549931645e-05
weak,3,5,200,10,0,0,3.446626666666667,0.11142213614099418,0.0339674,0.010056486102013963,0.000181263,5.671703506590119e-06,0.0069721133333333326,6.386344407318538e-05
weak,3,6,200,10,0,0,3.6335466666666663,0.049627565816679764,0.0665449,0.0033967151318099477,0.00018192466666666664,5.962757210850992e-06,0.006969536666666667,5.502734007341755e-05
weak,4,1,200,10,0,0,18.5628,0.021430041219435494,0.06033153333333333,0.0001846315309534709,6.39265e-05,4.333283897923147e-06,0.004239963333333333,9.708834339003952e-05
weak,4,2,200,10,0,0,11.427533333333335,0.05997756988148876,0.050091133333333336,0.011622533412967912,6.05872e-05,8.620979178724431e-07,0.004187096666666667,3.841522383407685e-05
weak,4,3,200,10,0,0,6.439236666666666,0.05863406366799289,0.06206609999999999,0.007897833176257904,6.087953333333334e-05,1.79264044049243e-06,0.004195233333333334,3.125324125413035e-05
weak,4,4,200,10,0,0,5.493016666666667,0.14739911744044526,0.06350299999999999,0.0034219064579071546,6.220889999999999e-05,1.0160021292628615e-06,0.004205056666666668,2.2045312930920675e-05
